rate,author,title
9.4,作者:[英]吉米·哈利,万物生光辉
9.1,作者:(巴西)若泽•毛罗•德瓦斯康塞洛斯,我亲爱的甜橙树
9.1,作者:(美)马里奥·普佐,教父
9.2,作者:罗伯特·麦基,故事
9.0,作者:(意)卡尔维诺,树上的男爵
9.2,作者:盐野七生,罗马人的故事2
9.2,作者:(法)儒勒·凡尔纳,神秘岛（全三册）
9.0,作者:阿加莎・克里斯蒂,罗杰・艾克罗伊德谋杀案
9.0,作者:萧红,呼兰河传
9.0,作者:白先勇,孽子
9.1,作者:章詒和,最後的貴族
9.3,作者:木心,木心作品八种
9.0,作者:史铁生,灵魂的事
9.2,作者:[英]吉米·哈利,万物既聪慧又奇妙
9.0,作者:[法]阿尔贝·加缪,局外人
9.0,作者:[德]赫尔曼·黑塞,荒原狼
9.2,作者:(奥)劳伦兹,所罗门王的指环
9.0,作者:一行禅师,故道白云
9.2,作者:冯友兰,中国哲学简史
9.3,作者:（美）保罗·萨缪尔森,经济学
9.1,作者:[美]查尔斯·舒尔茨,史努比黄金50年
9.2,作者:鲁兵主编,365夜
9.0,作者:刘义庆,世说新语
9.3,作者:[美]艾萨克·阿西莫夫,银河帝国3：第二基地
9.2,作者:PeterVanDerLinden,C专家编程
9.2,作者:W.RichardStevens,TCP/IP详解卷1：协议
9.0,作者:（美）艾萨克·阿西莫夫,基地前传2·迈向基地（上下）
9.0,作者:[英]奈杰尔·巴利,天真的人类学家
9.0,作者:三毛,温柔的夜
9.2,作者:柏拉图,柏拉图的《会饮》
9.0,作者:三毛,温柔的夜
9.2,作者:[明]张岱,陶庵梦忆西湖梦寻
9.0,作者:(美)杰克·伦敦著,热爱生命
9.4,作者:玛格丽特.米切尔,飘
9.0,作者:迟子建,额尔古纳河右岸
9.0,作者:[加]露西·莫德·蒙哥玛利,绿山墙的安妮
9.7,作者:（美）RandalE.Bryant/DavidO'Hallaron,深入理解计算机系统（原书第2版）
9.3,作者:逯钦立校注,陶渊明集
9.5,作者:(后秦)鸠摩罗什,金刚经
9.1,作者:[阿根廷]博尔赫斯,小径分岔的花园
8.9,作者:林语堂,京华烟云
9.1,作者:三毛,梦里花落知多少
9.2,作者:三毛,荷西我爱你
9.1,作者:[古希腊]亚里士多德(Aristotle),尼各马可伦理学
9.1,作者:[美]StanleyB.Lippman,深度探索C++对象模型
9.0,作者:[德]赫尔曼·黑塞,玻璃球游戏
9.2,作者:[英]以塞亚·伯林,浪漫主义的根源
9.1,作者:藤萍,吉祥纹莲花楼终篇之青龙·白虎
9.1,作者:ZhejiangEducationPublishingHouse,中国少年儿童百科全书
9.2,作者:王德胜,中国少年儿童百科全书--自然.环境
9.0,作者:(美)贾雷德・戴蒙德,枪炮、病菌与钢铁
9.0,作者:【英】毕翠克丝•波特,小兔彼得和他的朋友们（全3册）
9.1,作者:[美]阿特·斯皮格曼,鼠族（一、二部）
9.6,作者:理查德·威廉姆斯,原动画基础教程
9.0,作者:张荫麟,中国史纲
9.0,作者:[意大利]伊塔洛·卡尔维诺,美国讲稿
9.2,作者:(英)J.R.R.托尔金著/克里斯托弗·托尔金编,精灵宝钻
9.1,作者:[法]西蒙娜·德·波伏瓦,第二性Ⅱ
9.0,作者:[美]高居翰,隔江山色
9.1,作者:阿耐,大江东去（共三部）
9.0,作者:张爱玲,半生缘
9.2,作者:王尔德,夜莺与玫瑰
9.0,作者:张爱玲,金锁记
9.2,作者:（法）勒·柯布西耶/（瑞士）W·博奥席耶等,勒·柯布西耶全集
9.0,作者:[英]罗杰·克劳利,1453：君士坦丁堡之战
9.1,作者:冯骥才,一百个人的十年
9.2,作者:[法]雨果,悲惨世界（全三册）
9.2,作者:[美]CharlesPetzold,编码
9.2,作者:吴楚材/吴调候,古文观止
9.1,作者:[汉]许慎撰/[宋]徐铉杨校定,说文解字
9.6,作者:[美]乔治·R.R.马丁,冰与火之歌·卷三·冰雨的风暴（全三册）
9.1,作者:罗兰•米勒(RowlandMiller)/丹尼尔•珀尔曼(DanielPerlman),亲密关系（第5版）
9.6,作者:五月天,五月天之素人自拍
9.2,作者:基思•斯坦诺维奇,对伪心理学说不
9.0,作者:黄蓓佳,我要做好孩子
9.2,作者:杨柳松,北方的空地
9.2,作者:(美)安妮·阿普尔鲍姆,古拉格：一部历史
9.0,作者:[俄]陀思妥耶夫斯基,地下室手记
9.2,作者:郑渊洁,皮皮鲁和鲁西西全传
9.1,作者:(葡)若泽·萨拉马戈,失明症漫记
9.0,作者:[日]贵志祐介,来自新世界（上下）
9.0,作者:[美]艾萨克·阿西莫夫,永恒的终结
9.0,作者:罗杰·凯密恩（RogerKamien）,听音乐（插图第6版）
9.0,作者:[奥]斯蒂芬·茨威格,人类的群星闪耀时（增订版）
8.9,作者:S.A.阿列克谢耶维奇,我不知道该说什么，关于死亡还是爱情
9.2,作者:李泽厚,美的历程
9.1,作者:[美]悉达多·穆克吉,众病之王
9.3,作者:[以色列]尤瓦尔·赫拉利,人类简史
9.0,作者:[美]阿图•葛文德（AtulGawande）,最好的告别
9.1,作者:(日)三浦紫苑,强风吹拂
8.9,作者:[美]安迪·威尔,火星救援
9.0,作者:吴军,文明之光（第一册）
9.3,作者:朱熹,四書章句集注
9.1,作者:奥得弗雷德·普鲁士勒,大盗贼
9.1,作者:李碧华,霸王别姬
9.0,作者:MartinFowler,重构
9.1,出版社:吉林文史出版社,易经
9.2,作者:JonBentley,编程珠玑
9.3,作者:武玉成，顾丛龙注,宋词三百首
9.1,作者:宋韬,战国策
9.1,作者:RobertC.Martin,敏捷软件开发
9.0,作者:汤显祖,牡丹亭
9.4,作者:夏承焘/等,宋词鉴赏辞典
9.0,作者:[瑞典]阿斯特丽德·林格伦,长袜子皮皮
9.2,作者:陈鼓应,老子注译及评介
9.1,作者:彭一刚,中国古典园林分析
9.0,作者:芦原义信,外部空间设计
9.0,作者:老舍,四世同堂（上下）
9.3,作者:[英]莎士比亚,莎士比亚全集（全8册）
9.4,作者:[美]菲利普·津巴多/[美]罗伯特·约翰逊/[美]安·韦伯,津巴多普通心理学
9.2,作者:弗里曼,HeadFirst设计模式（中文版）
9.0,作者:金庸,天龙八部
9.0,作者:吴楚材/吴调侯,古文观止
9.5,作者:HaroldAbelson/GeraldJaySussman/JulieSussman,计算机程序的构造和解释
9.1,作者:[美]约翰.墨菲,期货市场技术分析
9.0,作者:本杰明·格雷厄姆/BenjaminGraham,聪明的投资者
9.0,作者:[美]彼得·考夫曼(编),穷查理宝典
9.0,作者:李娟,冬牧场
